Measurement time,Number of CPUs cores,CPU 0 freq,CPU 1 freq,CPU 2 freq,CPU 3 freq,Free RAM,Used RAM,Total RAM,Free Swap,Used Swap,Total Swap,CPU load (1m),CPU load (5m),CPU load (15m),Number of processes,Number of bytes received,Number of bytes sent,Number of packets received,Number of packets sent
s,N/A,kHz,kHz,kHz,kHz,kB,kB,kB,kB,kB,kB,%,%,%,N/A,bytes,bytes,N/A,N/A
1570564211.6705494,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4604152.0,3537360.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,0,0,0,0
1570564212.652457,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603900.0,3537612.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564213.6529706,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603648.0,3537864.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564214.6530306,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603648.0,3537864.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564215.6517413,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603648.0,3537864.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564216.6530435,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603648.0,3537864.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564217.6519997,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603648.0,3537864.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564218.6529472,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603648.0,3537864.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
1570564219.6528623,4.0,2301868.0,2301868.0,2301868.0,2301868.0,4603648.0,3537864.0,8141512.0,2097148.0,0.0,2097148.0,0.0,0.0,0.0,295.0,330.0,894.0,5.0,5.0
